Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
22.436	2000	22.436	17.28	22.436	0	22.436	3	22.436	0.07					
22.636	2000	22.636	17.27	22.636	0	22.636	3	22.636	0.05					
22.836	2000	22.836	17.27	22.836	0	22.836	3	22.836	0.07					
23.035	2000	23.035	17.27	23.035	0	23.035	3	23.035	0.07					
23.235	2000	23.235	17.26	23.235	0	23.235	3	23.235	0.05					
23.435	2000	23.435	17.26	23.435	0	23.435	3	23.435	0.07					
23.635	2000	23.635	17.26	23.635	0	23.635	3	23.635	0.07					
23.835	2000	23.835	17.26	23.835	0	23.835	3	23.835	0.07					
24.035	2000	24.035	17.26	24.035	0	24.035	3	24.035	0.07					
24.235	2000	24.235	17.26	24.235	0	24.235	3	24.235	0.07					
24.435	2000	24.435	17.26	24.435	0	24.435	3	24.435	0.07					
24.635	2000	24.635	17.26	24.635	0	24.635	3	24.635	0.07					
24.835	2000	24.835	17.26	24.835	0	24.835	3	24.835	0.07					
25.035	2000	25.035	17.26	25.035	0	25.035	3	25.035	0.08					
25.235	2000	25.235	17.26	25.235	0	25.235	3	25.235	0.08					
25.435	2000	25.435	17.26	25.435	0	25.435	3	25.435	0.07					
25.635	2000	25.635	17.26	25.635	0	25.635	3	25.635	0.07					
25.835	2000	25.835	17.26	25.835	0	25.835	3	25.835	0.07					
26.035	2000	26.035	17.26	26.035	0	26.035	3	26.035	0.07					
26.235	2000	26.235	17.26	26.235	0	26.235	3	26.235	0.07					
26.435	2000	26.435	17.26	26.435	0	26.435	3	26.435	0.07					
26.635	2000	26.635	17.26	26.635	0	26.635	3	26.635	0.07					
26.835	2000	26.835	17.26	26.835	0	26.835	3	26.835	0.07					
27.035	2000	27.035	17.26	27.035	0	27.035	3	27.035	0.08					
27.235	2000	27.235	17.26	27.235	0	27.235	3	27.235	0.07					
27.435	2000	27.435	17.26	27.435	0	27.435	3	27.435	0.07					
27.635	2000	27.635	17.26	27.635	0	27.635	3	27.635	0.07					
27.835	2000	27.835	17.26	27.835	0	27.835	3	27.835	0.07					
28.034	2000	28.034	17.26	28.034	0	28.034	3	28.034	0.07					
28.234	2000	28.234	17.26	28.234	0	28.234	3	28.234	0.07					
28.434	2000	28.434	17.26	28.434	0	28.434	3	28.434	0.07					
28.634	2000	28.634	17.26	28.634	0	28.634	3	28.634	0.08					
28.834	2000	28.834	17.26	28.834	0	28.834	3	28.834	0.07					
29.034	2000	29.034	17.26	29.034	0	29.034	3	29.034	0.07					
29.234	2000	29.234	17.26	29.234	0	29.234	3	29.234	0.08					
29.434	2000	29.434	17.26	29.434	0	29.434	3	29.434	0.08					
29.634	2000	29.634	17.26	29.634	0	29.634	3	29.634	0.07					
29.834	2000	29.834	17.26	29.834	0	29.834	3	29.834	0.07					
30.034	2000	30.034	17.25	30.034	0	30.034	3	30.034	0.07					
30.234	2000	30.234	17.25	30.234	0	30.234	3	30.234	0.07					
30.434	2000	30.434	17.25	30.434	0	30.434	3	30.434	0.07					
30.634	2000	30.634	17.25	30.634	0	30.634	3	30.634	0.07					
30.834	2000	30.834	17.25	30.834	0	30.834	3	30.834	0.07					
31.034	2000	31.034	17.26	31.034	0	31.034	3	31.034	0.07					
31.234	2000	31.234	17.26	31.234	0	31.234	3	31.234	0.07					
31.434	2000	31.434	17.26	31.434	0	31.434	3	31.434	0.07					
31.634	2000	31.634	17.26	31.634	0	31.634	3	31.634	0.07					
31.834	2000	31.834	17.26	31.834	0	31.834	3	31.834	0.07					
32.034	2000	32.034	17.26	32.034	0	32.034	3	32.034	0.08					
32.234	2000	32.234	17.26	32.234	0	32.234	3	32.234	0.08					
32.434	2000	32.434	17.26	32.434	0	32.434	3	32.434	0.07					
32.634	2000	32.634	17.26	32.634	0	32.634	3	32.634	0.07					
32.834	2000	32.834	17.26	32.834	0	32.834	3	32.834	0.07					
33.033	2000	33.033	17.26	33.033	0	33.033	3	33.033	0.07					
33.233	2000	33.233	17.27	33.233	0	33.233	3	33.233	0.07					
33.433	2000	33.433	17.27	33.433	0	33.433	3	33.433	0.07					
33.633	2000	33.633	17.27	33.633	0	33.633	3	33.633	0.08					
33.833	2000	33.833	17.27	33.833	0	33.833	3	33.833	0.07					
34.033	2000	34.033	17.27	34.033	0	34.033	3	34.033	0.07					
34.233	2000	34.233	17.27	34.233	0	34.233	3	34.233	0.08					
34.433	2000	34.433	17.27	34.433	0	34.433	3	34.433	0.07					
34.633	2000	34.633	17.27	34.633	0	34.633	3	34.633	0.07					
34.833	2000	34.833	17.27	34.833	0	34.833	3	34.833	0.08					
35.033	2000	35.033	17.27	35.033	0	35.033	3	35.033	0.08					
35.233	2000	35.233	17.27	35.233	0	35.233	3	35.233	0.07					
35.433	2000	35.433	17.27	35.433	0	35.433	3	35.433	0.07					
35.633	2000	35.633	17.27	35.633	0	35.633	3	35.633	0.07					
35.833	2000	35.833	17.27	35.833	0	35.833	3	35.833	0.07					
36.033	2000	36.033	17.27	36.033	0	36.033	3	36.033	0.07					
36.233	2000	36.233	17.26	36.233	0	36.233	3	36.233	0.07					
36.433	2000	36.433	17.26	36.433	0	36.433	3	36.433	0.07					
